Complaint_No,Weapon_Type
20150110180903,"Personal Weapons (hands,feet,teeth,etc.)"
20150110185400,"Personal Weapons (hands,feet,teeth,etc.)"
20150110201003,"Personal Weapons (hands,feet,teeth,etc.)"
20150110201403,"Personal Weapons (hands,feet,teeth,etc.)"
20150110210504,"Personal Weapons (hands,feet,teeth,etc.)"
20150110214802,Undetermined Firearm                    
20150110221407,Handgun                                 
20150110231304,Other Cutting Instrument                
20150111001901,"Personal Weapons (hands,feet,teeth,etc.)"
20150111003302,Handgun                                 
20150111013501,"Personal Weapons (hands,feet,teeth,etc.)"
20150111014900,"Personal Weapons (hands,feet,teeth,etc.)"
20150111021702,"Personal Weapons (hands,feet,teeth,etc.)"
20150111023102,"Personal Weapons (hands,feet,teeth,etc.)"
20150111023401,"Personal Weapons (hands,feet,teeth,etc.)"
20150111025302,"Personal Weapons (hands,feet,teeth,etc.)"
20150111025701,Other Weapon                            
20150111032401,Handgun                                 
20150111045201,"Blunt Object(club,hammer,etc)           "
20150111051100,Other Weapon                            
20150111080602,"Personal Weapons (hands,feet,teeth,etc.)"
20150111084400,Undetermined Firearm                    
20150111085801,Knife                                   
20150111091100,"Personal Weapons (hands,feet,teeth,etc.)"
20150111110101,"Personal Weapons (hands,feet,teeth,etc.)"
20150111111504,"Personal Weapons (hands,feet,teeth,etc.)"
20150111112200,"Personal Weapons (hands,feet,teeth,etc.)"
20150111112301,"Personal Weapons (hands,feet,teeth,etc.)"
20150111130800,"Personal Weapons (hands,feet,teeth,etc.)"
20150111132801,"Personal Weapons (hands,feet,teeth,etc.)"
20150111135401,Handgun                                 
20150111141701,"Personal Weapons (hands,feet,teeth,etc.)"
20150111141901,"Personal Weapons (hands,feet,teeth,etc.)"
20150111152004,"Personal Weapons (hands,feet,teeth,etc.)"
20150111152900,Not Applicable/None                     
20150111153800,"Personal Weapons (hands,feet,teeth,etc.)"
20150111153802,"Personal Weapons (hands,feet,teeth,etc.)"
20150111163500,Handgun                                 
20150111180801,"Personal Weapons (hands,feet,teeth,etc.)"
20150111191002,Shotgun                                 
20150111192103,"Personal Weapons (hands,feet,teeth,etc.)"
20150111193500,Handgun                                 
20150111194100,Knife                                   
20150111200901,"Personal Weapons (hands,feet,teeth,etc.)"
20150111204800,"Personal Weapons (hands,feet,teeth,etc.)"
20150111205001,"Personal Weapons (hands,feet,teeth,etc.)"
20150111220202,"Personal Weapons (hands,feet,teeth,etc.)"
