Complaint_No,Vehicle_Year,Vechicle_Make,Vehicle_Model,Vehicle_Color,Vehicle_Body
20130118084304,1994,Honda                                                                 ,ACCORD                        ,"Blue, Light/Blue, Light                                               ",2-Door                                                                
20130118131200,1994,Dodge                                                                 ,RAM WAGON                     ,Gray/Gray                                                             ,Van                                                                   
20130118134104,2001,Volvo                                                                 ,S80                           ,"Blue/Blue, Dark                                                       ",4-Door                                                                
20130118143700,2013,Chevrolet                                                             ,CAMARO                        ,Gray/Gray                                                             ,2-Door                                                                
20130118143700,2013,Chevrolet                                                             ,CAMARO                        ,Silver/Silver                                                         ,2-Door                                                                
20130118143700,2013,Chevrolet                                                             ,CAMARO                        ,Black/Black                                                           ,2-Door                                                                
20130118145606,2001,Pontiac                                                               ,FIREBIRD                      ,White/White                                                           ,2-Door                                                                
20130118151701,1988,Buick                                                                 ,ELECTRA                       ,Gold/Gold                                                             ,4-Door                                                                
20130118223600,2000,Dodge                                                                 ,INTERPID                      ,Black/Black                                                           ,4-Door                                                                
20130118231601,1987,Suzuki                                                                ,MOPED                         ,Red/Red                                                               ,Moped                                                                 
20130119005201,2001,Dodge                                                                 ,CARAVAN                       ,Gray/Gray                                                             ,Van                                                                   
20130119005500,2010,Ford                                                                  ,SUPER DUTY TRUCK              ,White/White                                                           ,Pick-up Truck                                                         
20130119015800,1998,Lexus                                                                 ,GS400                         ,Silver/Silver                                                         ,4-Door                                                                
20130119110903,1998,Mercury                                                               ,VILLAGER                      ,Red/Red                                                               ,Van                                                                   
20130119114202,2005,Nissan                                                                ,ALTIMA                        ,Blue/Blue                                                             ,4-Door                                                                
20130119130900,2001,Nissan                                                                ,ALTIMA                        ,White/White                                                           ,4-Door                                                                
20130119213201,2002,Acura                                                                 ,3.2TL                         ,White/White                                                           ,4-Door                                                                
20130119223601,1997,Ford                                                                  ,EXPLORER                      ,"Blue, Light/Blue, Light                                               ",Sport Utility Vehicle                                                 
20130120002101,1999,Mercury                                                               ,MARQUIS                       ,White/White                                                           ,4-Door                                                                
20130120030900,2003,Lexus                                                                 ,GS300                         ,White/White                                                           ,4-Door                                                                
20130120074700,1985,General Motors Corp.                                                  ,SIERRA                        ,Black/Black                                                           ,Pick-up Truck                                                         
